ID;COTIS
300001;339.162215672
300002;236.677582024
300003;285.651619849
300004;352.294938476
300005;295.047157199
300006;406.207352052
300007;385.460244713
300008;192.053958498
300009;599.820747851
300010;553.936715145
300011;281.108124543
300012;352.276648432
300013;236.723838031
300014;192.335901463
300015;442.61813097
300016;166.50958096
300017;277.48111641
300018;528.541964722
300019;298.14559675
300020;357.339302074
300021;223.986605223
300022;382.066740336
300023;430.064291166
300024;347.969959711
300025;288.860585381
300026;223.617072428
300027;294.062490082
300028;379.398458605
300029;295.047157199
300030;241.551768021
300031;375.075151568
300032;403.741194203
300033;296.207438936
300034;377.182292079
300035;334.464052959
300036;307.096457876
300037;160.268555915
300038;302.410799476
300039;253.992657031
300040;225.595584754
300041;343.120506337
300042;486.485417907
300043;278.94026168
300044;487.70261483
300045;260.41751983
300046;290.009089415
300047;283.909135918
300048;214.10724731
300049;358.429582648
300050;276.005959666
300051;302.670248885
300052;290.453069788
300053;346.636851009
300054;367.827097799
300055;357.974028074
300056;347.752286717
300057;282.433096217
300058;418.885591574
300059;287.035646284
300060;283.027113497
300061;379.470277357
300062;212.219033879
300063;152.887107787
300064;315.466793518
300065;290.045176743
300066;230.770546609
300067;395.604189485
300068;357.645634192
300069;455.845745357
300070;289.662278839
300071;221.699529577
300072;351.584939658
300073;332.614524857
300074;488.596785085
300075;401.487193634
300076;319.796750837
300077;314.068365663
300078;341.269310363
300079;328.897171042
300080;259.815303586
300081;228.136454475
300082;282.716651113
300083;299.580267234
300084;345.747366611
300085;225.533777657
300086;231.080513141
300087;288.048188702
300088;289.870828568
300089;358.71684565
300090;236.832598039
300091;400.881440967
300092;215.776132753
300093;184.052575798
300094;346.340235052
300095;217.695121707
300096;398.753723199
300097;240.9996728
300098;542.159896829
300099;343.843330661
300100;296.940722855
300101;298.511530581
300102;290.002632424
300103;536.144602474
300104;276.923720076
300105;292.495334921
300106;277.212292479
300107;341.941112773
300108;287.329192286
300109;305.991411251
300110;536.144602474
300111;488.341663691
300112;287.329192286
300113;352.028134488
300114;340.394189329
300115;386.607206634
300116;292.495334921
300117;284.068119538
300118;600.682797649
300119;230.66577841
300120;239.682184582
300121;216.226913079
300122;507.636085539
300123;280.768926272
300124;544.453115497
300125;321.840145264
300126;322.869673486
300127;501.018191612
300128;284.634065891
300129;201.868153048
300130;279.879913356
300131;303.856089327
300132;303.856089327
300133;165.84335875
300134;352.554624297
300135;282.048280565
300136;278.508528265
300137;200.867881689
300138;276.674341821
300139;310.614284561
300140;283.757034469
300141;506.579493833
300142;294.374493319
300143;286.995011521
300144;326.011174247
300145;337.13158362
300146;404.816409909
300147;223.521124171
300148;349.50559218
300149;400.593596946
300150;194.28306517
300151;488.217677314
300152;330.520814042
300153;367.827097799
300154;355.816830989
300155;290.113294096
300156;303.282902784
300157;396.55744632
300158;202.299886463
300159;374.552272167
300160;222.891434251
300161;275.474349283
